encounter_timestamp,park_area_id,park_district,park_borough,patroncount,in_playground,action_taken,amenity
05/04/2020 09:16:57 AM,Q024,Q-07,Queens,80,false,Did not approach the crowd; the crowd remains,Walking path
05/04/2020 09:09:44 AM,X042,X-06,Bronx,7,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/04/2020 07:44:04 AM,Q471,Q-02,Queens,20,false,Did not approach the crowd; the crowd remains,Walking path
05/03/2020 05:58:43 PM,R022-ZN02,R-01,Staten Island,25,false,Did not approach the crowd; the crowd remains,Walking path
05/03/2020 04:12:13 PM,X042,X-06,Bronx,12,false,Approached the crowd; they ignored the employee,Bench/sitting area
05/03/2020 04:02:05 PM,M052,M-05,Manhattan,24,false,Approached the crowd; they complied with instructions,Track/field area
05/03/2020 02:57:45 PM,Q099-ZN08,Q-15,Queens,275,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/03/2020 02:43:39 PM,Q099-ZN12,Q-15,Queens,220,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/03/2020 02:37:35 PM,Q099-ZN15,Q-15,Queens,125,false,Did not approach the crowd; the crowd remains,Soccer field
05/03/2020 02:36:37 PM,X118,X-09,Bronx,50,false,Approached the crowd; they complied with instructions,Baseball field
05/03/2020 02:35:52 PM,Q099-ZN16,Q-15,Queens,57,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/03/2020 02:35:29 PM,X118,X-09,Bronx,50,false,Approached the crowd; they complied with instructions,Baseball field
05/03/2020 02:33:41 PM,Q471,Q-02,Queens,50,false,Did not approach the crowd; the crowd remains,Walking path
05/03/2020 02:30:20 PM,Q099-ZN09,Q-15,Queens,45,false,Did not approach the crowd; the crowd remains,Soccer field
05/03/2020 01:53:00 PM,Q004-ZN01,Q-01,Queens,200,false,Did not approach the crowd; the crowd remains,Track/field area
05/03/2020 10:54:15 AM,X147A-01,X-14,Bronx,40,false,Did not approach the crowd; the crowd remains,Soccer field
05/03/2020 10:29:36 AM,X041,X-01,Bronx,6,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/03/2020 09:00:23 AM,B214-02,B-05,Brooklyn,20,false,Did not approach the crowd; the crowd remains,Soccer field
05/03/2020 08:46:26 AM,M144-ZN03,M-03,Manhattan,14,false,Approached the crowd; they ignored the employee,Baseball field
05/03/2020 08:44:24 AM,M144-ZN06,M-03,Manhattan,16,false,Approached the crowd; they ignored the employee,Baseball field
05/03/2020 08:41:27 AM,M144-ZN03,M-03,Manhattan,10,false,Approached the crowd; they ignored the employee,Baseball field
05/03/2020 08:38:22 AM,M144-ZN05,M-03,Manhattan,15,false,Approached the crowd; they ignored the employee,Baseball field
05/03/2020 08:19:23 AM,R046-ZN04,R-02B,Staten Island,15,false,Did not approach the crowd; the crowd remains,Soccer field
05/02/2020 07:10:03 PM,M071-13,M-14,Manhattan,5,false,Approached the crowd; they complied with instructions,Open field/multi-purpose play area
05/02/2020 06:42:16 PM,Q099-ZN19,Q-15,Queens,15,true,Did not approach the crowd; the crowd remains,Handall court
05/02/2020 05:02:01 PM,M077-04,M-09,Manhattan,2,false,Approached the crowd; they complied with instructions,Playground
05/02/2020 04:22:44 PM,Q134,Q-13,Queens,10,false,Approached the crowd; they ignored the employee,Adult fitness equipment
05/02/2020 02:36:36 PM,Q015-ZN04,Q-16,Queens,30,false,Did not approach the crowd; the crowd remains,Adult fitness equipment
05/02/2020 02:32:06 PM,Q010A-ZN02,Q-07A,Queens,200,false,Approached the crowd; they ignored the employee,Walking path
05/02/2020 02:29:22 PM,Q048,Q-01,Queens,75,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/02/2020 02:28:45 PM,X039-ZN01,X-15,Bronx,30,false,Approached the crowd; they ignored the employee,Baseball field
05/02/2020 02:27:07 PM,X039-ZN01,X-15,Bronx,200,false,Did not approach the crowd; the crowd remains,Track/field area
05/02/2020 02:25:49 PM,X039-ZN01,X-15,Bronx,250,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/02/2020 02:03:05 PM,Q004-ZN01,Q-01,Queens,200,false,Approached the crowd; they ignored the employee,Open field/multi-purpose play area
05/02/2020 02:02:28 PM,Q004-ZN02,Q-01,Queens,100,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/02/2020 02:01:52 PM,Q004-ZN03,Q-01,Queens,75,false,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
05/02/2020 01:59:34 PM,X255,X-02,Bronx,15,false,Did not approach the crowd; the crowd remains,Bench/sitting area
05/02/2020 01:24:24 PM,M005-ZN02,M-01,Manhattan,62,true,Approached the crowd; they ignored the employee,Adult fitness equipment
05/02/2020 12:28:14 PM,X039-ZN01,X-15,Bronx,175,false,Approached the crowd; they ignored the employee,Track/field area
05/02/2020 12:26:26 PM,Q092,Q-10,Queens,15,true,Did not approach the crowd; the crowd remains,Open field/multi-purpose play area
